Id,BIRTHDATE,SSN,DRIVERS,PASSPORT,FIRST,LAST,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP
78a7ab19-bdd0-2238-e4e5-de757ee074d1,01/01/1970,999-92-6054,S99993971,X11699835X,Lakia,Schinner,white,nonhispanic,F,New York  New York  US,932 Boyer Wall Unit 71,New York,New York,Richmond County,36047,11228
0c664d64-f24f-fc6f-3f93-b9cf5b8e041b,01/01/1970,999-38-9781,,,Chester,Schneider,white,hispanic,M,Rocky Point  New York  US,911 Hahn Branch Suite 99,New York,New York,Richmond County,36085,10307
dabfdec7-929a-3269-fd84-ab7e6ecaa245,01/01/1970,999-80-4324,S99998304,X49905482X,Adolp,Bartolett,white,nonhispanic,M,New York  New York  US,354 Tillman Orchard Unit 9,New York,New York,Richmond County,36081,11693
0cf9b574-057c-624a-8353-a9373224612c,01/01/1970,999-92-9219,,,Neta,Turner,black,nonhispanic,F,Monsey  New York  US,533 Corkery Branch Apt 66,New York,New York,Richmond County,36061,10023
3b96797c-636a-ff31-2bf7-1d89b1583d42,01/01/1970,999-51-8263,S99965394,X28233767X,Lorretta,White,white,nonhispanic,F,Cheektowaga  New York  US,871 Hamill Viaduct,New York,New York,Richmond County,36081,11414
7ec34f99-4ae7-bb4c-cc1c-4ab0bc19784f,01/01/1970,999-40-7241,S99924081,X71078489X,Pok,Metz,white,nonhispanic,F,East Meadow  New York  US,184 Hauck Forge,New York,New York,Richmond County,36047,11210
f4f149b6-ac10-7ab8-ea5c-835bfcf6bafd,01/01/1970,999-28-6830,S99965092,X335056X,Elwoo,Sauer,native,nonhispanic,M,West Hills  New York  US,846 Kunde Byway Suite 32,New York,New York,Richmond County,36081,11356
c2b02098-d9bf-0710-1768-b233f881db0a,01/01/1970,999-41-3922,S99980407,X77448162X,Arnoldo,Gusikowski,white,nonhispanic,M,New York  New York  US,224 Heaney Underpass,New York,New York,Richmond County,36061,10021
bcb06b48-9557-166b-3335-f067a4abd99c,01/01/1970,999-66-5121,S99992740,X17657843X,Germán,Hidalgo,black,hispanic,M,Lima  Lima Province  PE,352 Dibbert Port,New York,New York,Richmond County,36061,10040
50c16763-5d84-2bfb-ceea-13012b603ea8,01/01/1970,999-10-9914,S99989227,,Milton,Wolff,white,nonhispanic,M,New York  New York  US,214 Dickinson Promenade,New York,New York,Richmond County,36047,11216
f86ceb29-43dd-03c5-8857-0f147d160b79,01/01/1970,999-29-9997,S99963257,X20000552X,Belkis,Schulist,asian,nonhispanic,F,New York  New York  US,747 Pfeffer Station,New York,New York,Richmond County,36061,10040
fcc90947-2e5f-e63a-0815-d22d499742db,01/01/1970,999-37-2747,S99954633,X14742345X,Lovetta,Glover,black,nonhispanic,F,Buffalo  New York  US,475 Schuppe Quay Suite 81,New York,New York,Richmond County,36081,11379
44c7c8a3-85fb-4736-4bd9-8a5640b5bbf8,01/01/1970,999-10-7944,S99926899,X69488203X,Lucas,Enríquez,black,nonhispanic,M,Tegucigalpa  Francisco Morazán  HN,774 Hoeger Ranch Unit 44,New York,New York,Richmond County,36081,11420
5fb5348e-9474-d0bb-ebbb-a0c84e611786,01/01/1970,999-94-2543,,,Melda,Reynolds,white,nonhispanic,F,Stony Point  New York  US,949 Ziemann View Apt 61,New York,New York,Richmond County,36081,11422
28889284-caae-a306-049b-a9b8780f07c5,01/01/1970,999-67-6569,S99968862,X31076513X,Rocco,Hettinger,white,nonhispanic,M,New York  New York  US,828 Olson Green Apt 83,New York,New York,Richmond County,36047,11220
7bb85f23-044b-1f92-3521-f2cf258601b0,01/01/1970,999-63-8148,S99974275,X7011099X,Lourdes,Patiño,white,hispanic,F,Mexico City  Mexico City  MX,783 Cronin Stravenue,New York,New York,Richmond County,36061,10169
f7875724-0d47-33b4-bb82-53c03c73aded,01/01/1970,999-50-3418,S99948094,X53870378X,Maybell,Cronin,white,nonhispanic,F,Grand Island  New York  US,270 Steuber Village,New York,New York,Richmond County,36047,11207
15bce9e0-9c42-8982-ceba-6ed5d15e722a,01/01/1970,999-48-9236,S99914507,X35936625X,Charity,Schneider,black,nonhispanic,F,Rochester  New York  US,599 Boyer Frontage road,New York,New York,Richmond County,36005,10466
116d28e7-4838-a916-a3fa-9b71db041f81,01/01/1970,999-28-5452,S99947030,X16306515X,Martí,Crespo,white,hispanic,M,Lima  Lima Province  PE,128 Marvin Avenue Suite 61,New York,New York,Richmond County,36085,10305
07f6fec7-712a-d186-9e53-9c48e5e950af,01/01/1970,999-45-7663,S99962705,X19823990X,Eugenio,Bartolett,white,nonhispanic,M,New York  New York  US,691 Casper Drive,New York,New York,Richmond County,36061,10014
3d77cc0c-19f8-4fb7-6f19-1e70e2298636,01/01/1970,999-82-4494,S99965141,X16157305X,Temple,Cremin,white,nonhispanic,F,Cortland  New York  US,421 Jacobi Passage Apt 34,New York,New York,Richmond County,36061,10013
2df0e1ec-0907-870b-8c52-f8316c157f5f,01/01/1970,999-85-7944,S99935869,X20983206X,Carletta,Heathcote,black,nonhispanic,F,New York  New York  US,1063 Monahan Heights,New York,New York,Richmond County,36047,11224
f09be4f7-eb59-e9b5-2ecc-0c713c4b103a,01/01/1970,999-30-6665,S99921148,,Vern,Fahey,white,nonhispanic,M,Lake Ronkonkoma  New York  US,992 Hickle Wall Apt 53,New York,New York,Richmond County,36047,11211
184cf049-bb4e-91c1-0a44-41c9512eee0c,01/01/1970,999-92-9666,S99993605,X50890864X,Bar,Predovic,white,nonhispanic,M,New York  New York  US,864 Lind Park Apt 29,New York,New York,Richmond County,36047,11236
36aefbc4-a492-825a-a9fe-999acf78541d,01/01/1970,999-29-7675,S99919353,X84995201X,Eartha,Collins,black,nonhispanic,F,Troy  New York  US,347 Corkery Junction Suite 53,New York,New York,Richmond County,36081,11366
c61ebb68-6543-9601-ccbb-d83f68ee932c,01/01/1970,999-32-7797,S99953160,X41036327X,Calvin,Bayer,white,nonhispanic,M,New Paltz  New York  US,976 Wintheiser Heights,New York,New York,Richmond County,36005,10454
d4039c3f-78b0-9250-286f-ad44dda0e831,01/01/1970,999-35-4808,S99980849,X73994229X,Charmain,Klocko,black,nonhispanic,F,New York  New York  US,577 Heidenreich Stravenue Apt 38,New York,New York,Richmond County,36005,10451
6f230251-af2b-c675-9260-dde805f71777,01/01/1970,999-52-2119,,,Jeffie,Price,black,nonhispanic,F,Patchogue  New York  US,469 Fay Burg,New York,New York,Richmond County,36085,10305
af5c835a-9726-a0d2-b10f-7d6322da7aa5,01/01/1970,999-63-5333,S99971354,X85548426X,Verda,Maggio,white,nonhispanic,F,Yorktown  New York  US,1011 Bernier Street Apt 89,New York,New York,Richmond County,36061,10017
15d4a83b-8b3f-3623-311c-7e658afcdd29,01/01/1970,999-81-5549,S99949626,X89514616X,Marguerita,Pacocha,white,nonhispanic,F,New York  New York  US,741 Muller Light Suite 73,New York,New York,Richmond County,36081,11361
1ab3f917-8f8c-6e79-e6a1-8f5388c5975e,01/01/1970,999-26-8594,S99948652,X54591800X,Melodie,Heathcote,white,nonhispanic,F,Harbor Isle  New York  US,1008 Conn Frontage road Suite 25,New York,New York,Richmond County,36047,11226
cdf0a938-f80b-acca-22c8-d045702710fd,01/01/1970,999-90-1098,S99963018,X794646X,Colton,Abbott,black,nonhispanic,M,Jefferson Valley-Yorktown  New York  US,302 Purdy View Apt 52,New York,New York,Richmond County,36061,10027
65c747df-87f9-046a-c23a-bf118c503d6a,01/01/1970,999-70-2599,S99922172,X10091461X,Virgilio,Cronin,white,nonhispanic,M,New York  New York  US,571 Bernhard Gardens Suite 30,New York,New York,Richmond County,36081,11691
f5ab0978-fa72-0231-d18d-adfbfb726826,01/01/1970,999-76-5270,,,Sarina,Reiche,white,nonhispanic,F,New York  New York  US,820 Dooley Gateway Unit 84,New York,New York,Richmond County,36081,11697
d6df142d-d9d0-ffbc-e681-54d67f413a79,01/01/1970,999-75-8050,S99957941,X34616514X,Williemae,Halvorson,white,nonhispanic,F,New York  New York  US,1039 Leuschke Harbor,New York,New York,Richmond County,36005,10465
f65d7be2-97f2-a71d-2607-bed47f679010,01/01/1970,999-42-7023,S99928894,X52304462X,Deetta,Bogan,white,nonhispanic,F,Montezuma  New York  US,509 Hegmann Landing,New York,New York,Richmond County,36005,10466
01ff265a-fbe6-317f-3157-f97c404f4cf5,01/01/1970,999-49-5354,S99959063,X65450570X,Shen,Mohr,black,nonhispanic,F,New York  New York  US,736 Sauer Wall,New York,New York,Richmond County,36061,10153
c08ec2b5-35bb-a502-70e3-1b353936c3be,01/01/1970,999-86-9060,S99984477,X36460101X,Mattie,Kunze,white,nonhispanic,F,New York  New York  US,689 Cassin Throughway,New York,New York,Richmond County,36081,11374
51047ed9-19d7-17cf-04ca-78e617a10aa2,01/01/1970,999-23-1474,S99995135,X10104307X,Forest,Johns,white,nonhispanic,M,New York  New York  US,143 Cartwright Wall,New York,New York,Richmond County,36005,10471
8bb392f1-bc56-c9f9-165a-ffb98a43e097,01/01/1970,999-33-2335,S99969207,X19788675X,Mitchel,Kirlin,white,nonhispanic,M,New York  New York  US,601 Bashirian Vale Apt 90,New York,New York,Richmond County,36081,11427
dd82db8e-973a-cba3-cb66-f59fbd6d1052,01/01/1970,999-61-9452,,,Janella,Herzog,white,nonhispanic,F,Pawling  New York  US,225 Williamson Dam,New York,New York,Richmond County,36047,11238
5266e3c3-f649-bc4e-6ea1-fb6b0eb52e5f,01/01/1970,999-20-2302,S99990804,X63411627X,Lucas,Jurado,asian,hispanic,M,Lima  Lima Province  PE,894 Lind Estate,New York,New York,Richmond County,36081,11413
c5fd333e-21c3-d902-1d5c-d43d2fe253ae,01/01/1970,999-80-9483,,,Cathie,Barton,white,nonhispanic,F,Wallkill  New York  US,507 Abbott Overpass,New York,New York,Richmond County,36061,10172
6aa204e7-49a6-3a9a-1ebe-39d8b3c9147d,01/01/1970,999-50-8421,S99958579,X1342030X,Gustavo,Cavazos,white,hispanic,M,Kingston  Kingston  JM,205 Schoen Tunnel Suite 63,New York,New York,Richmond County,36081,11102
6c38ffc3-f070-b74f-81c9-a90f1c8ec3c2,01/01/1970,999-31-6123,S99988842,X29917930X,Bryant,Parker,white,nonhispanic,M,New York  New York  US,423 Stehr Estate,New York,New York,Richmond County,36081,11361
1375dc8f-5416-6532-f5a8-7286adc7fe9d,01/01/1970,999-45-4418,S99971782,X35942495X,Faustino,Bailey,asian,nonhispanic,M,Beijing  Beijing Municipality  CN,901 Kris Bridge Apt 11,New York,New York,Richmond County,36081,11372
c91d045a-1dcd-5baf-e062-fee5d3d87605,01/01/1970,999-73-2653,S99945170,X25212505X,Emil,Koelpin,black,nonhispanic,M,Niskayuna  New York  US,633 Harris Flat,New York,New York,Richmond County,36081,11367
bc790a33-8a43-9fdf-31f6-654e4d7fd1a3,01/01/1970,999-92-5195,S99996205,X38275049X,Lashawn,Kiehn,asian,nonhispanic,F,Hong Kong  Hong Kong Special Administrative Region  CN,506 Runte Camp Unit 31,New York,New York,Richmond County,36059,11001
b54c5916-1628-9e35-c6d7-8c3e83bba67d,01/01/1970,999-50-6540,S99967202,X69423015X,Marcellus,Gibso,white,nonhispanic,M,Niagara Falls  New York  US,595 Harber Dam Unit 60,New York,New York,Richmond County,36047,11211
926a63fd-c448-db21-a80f-e72646dcae62,01/01/1970,999-12-3988,S99933996,X938482X,Cicely,Trantow,white,nonhispanic,F,New York  New York  US,883 Schumm Trail Apt 7,New York,New York,Richmond County,36081,11356
198f1467-cdc7-4ea5-e3fc-3b3691fe8287,01/01/1970,999-82-4378,S99923132,X30365208X,Anton,Steuber,white,nonhispanic,M,Mount Vernon  New York  US,714 Runolfsson Fort,New York,New York,Richmond County,36005,10472
8f71865c-f979-70b1-f193-34d567b15b98,01/01/1970,999-10-5686,S99965811,X28302355X,Vincenza,Hickle,white,nonhispanic,F,New York  New York  US,948 Christiansen Byway Unit 13,New York,New York,Richmond County,36005,10465
e305a7bb-b72d-bdb2-860b-a0fceebf7116,01/01/1970,999-13-7882,,,Earlene,Bartell,white,nonhispanic,F,West Babylon  New York  US,333 Padberg Viaduct Suite 5,New York,New York,Richmond County,36081,11693
a3db1efd-4ce2-f862-42c0-6c2e56cdd543,01/01/1970,999-64-9088,S99917307,X72327315X,Danny,Kunde,white,nonhispanic,M,North Bay Shore  New York  US,189 Kihn Junction Apt 65,New York,New York,Richmond County,36081,11375
0ed475a3-b6fe-bffe-032f-30df7878309c,01/01/1970,999-77-1292,S99922723,X64853006X,Evita,Runolfsdottir,white,nonhispanic,F,New York  New York  US,925 Balistreri Alley Suite 24,New York,New York,Richmond County,36081,11355
09e404b0-55e3-27b8-9864-96bf7c4b76a0,01/01/1970,999-64-8911,S99996700,X24604930X,Porfirio,Borer,black,nonhispanic,M,Fayetteville  New York  US,453 Breitenberg Tunnel,New York,New York,Richmond County,36081,11414
5ca9e2d6-d6b9-ac65-cf2c-63be3b34fa31,01/01/1970,999-27-3006,S99937940,X76576322X,Carola,Dooley,black,nonhispanic,F,New York  New York  US,646 Pouros Passage Suite 67,New York,New York,Richmond County,36061,10016
5294c25e-a9d4-2db3-c274-e955c6a5dfbd,01/01/1970,999-42-9697,S99932723,X85797919X,Lowell,Schowalter,black,nonhispanic,M,Lake Ronkonkoma  New York  US,903 Wisozk Ranch Suite 27,New York,New York,Richmond County,36081,11430
e441ceed-80e6-d35d-bdf2-e82247f10dae,01/01/1970,999-89-7337,S99930005,X73029310X,Mis,Ledner,white,hispanic,F,New York  New York  US,985 Little Parade Apt 62,New York,New York,Richmond County,36061,10119
f37eecd3-a650-2cb5-153b-ea76c0ce9ee5,01/01/1970,999-95-3139,S99938342,X60955589X,Kymberly,Spencer,asian,nonhispanic,F,Chongqing  Chongqing Municipality  CN,662 Mertz Neck,New York,New York,Richmond County,36061,10002
67422989-3993-3a69-9103-3e3208bb843e,01/01/1970,999-19-7156,S99945406,X73096074X,Geraldo,Bartolett,white,hispanic,M,New York  New York  US,876 Borer Bay,New York,New York,Richmond County,36061,10110
b79be9b1-f26c-62d1-e7af-b824df2a382a,01/01/1970,999-87-3416,S99948177,X73279049X,Calvin,Hermann,white,nonhispanic,M,New York  New York  US,355 Hansen Arcade Suite 83,New York,New York,Richmond County,36081,11104
0d293c5a-a858-c86b-a107-d7ce470064d1,01/01/1970,999-47-3205,S99968294,X29287019X,Clair,DuBuque,white,nonhispanic,M,New York  New York  US,1048 Botsford View,New York,New York,Richmond County,36061,10169
76d85550-f3c3-8d9b-496e-fe3cb296b153,01/01/1970,999-51-4940,S99989020,X57720790X,Hyun,Mills,white,nonhispanic,F,New Hyde Park  New York  US,175 Rodriguez Lock,New York,New York,Richmond County,36081,11374
b81a5897-ae46-0572-06e1-5821ab9fa065,01/01/1970,999-67-2640,S99963796,X85979472X,Alan,Reilly,white,hispanic,M,Hicksville  New York  US,651 Reichert Bypass Unit 70,New York,New York,Richmond County,36047,11213
4836519e-704a-1532-04d4-76b3020c5cbc,01/01/1970,999-86-4505,S99977909,X83523772X,Trinida,Rice,black,nonhispanic,M,Ossining  New York  US,742 Prohaska Lane Unit 23,New York,New York,Richmond County,36005,10464
944f8616-fb51-260f-77b9-0e0003d3d326,01/01/1970,999-68-9273,S99978595,X17246665X,Lilia,Jiménez,white,hispanic,F,Salisbury  Saint Joseph Parish  DM,923 Kreiger Loaf,New York,New York,Richmond County,36081,11371
3c9644e4-f381-5d77-a5b3-346dfe83e5fc,01/01/1970,999-10-5076,S99996606,X880X,María José,Santiago,white,hispanic,F,Port-au-Prince  Haiti  HT,195 Lynch Street Apt 61,New York,New York,Richmond County,36081,11377
d31fc020-c7c9-bfc2-5bc2-a4f2e22df48a,01/01/1970,999-73-8219,S99931654,X23191035X,Zackary,Ortiz,black,nonhispanic,M,Wesley Hills  New York  US,348 Lakin Well Suite 33,New York,New York,Richmond County,36085,10304
32db81e8-469c-cc0d-60d6-a7e7defa90ce,01/01/1970,999-70-8078,S99941646,X73707772X,Rodrick,Stiedemann,white,nonhispanic,M,New York  New York  US,519 Zulauf Gateway,New York,New York,Richmond County,36085,10305
8c4bfdab-605b-50a1-1c18-4d986719e66d,01/01/1970,999-76-3915,,,Katerine,Russel,black,nonhispanic,F,South Farmingdale  New York  US,668 Langworth Lock,New York,New York,Richmond County,36081,11363
21dc2865-3c4b-62d5-4766-0812e40732b5,01/01/1970,999-58-4745,,,James,Wunsch,white,nonhispanic,M,New York  New York  US,820 Bechtelar Brook Suite 26,New York,New York,Richmond County,36081,11428
a192a427-824f-910a-aaca-83e28ffe146a,01/01/1970,999-84-5576,,,Ramona,Caballero,white,hispanic,F,Caracas  Capital District  VE,110 Kassulke Trace Apt 13,New York,New York,Richmond County,36085,10306
18ca9595-e08f-908e-aaa9-6b56ee92d38c,01/01/1970,999-79-8300,,,Mckenzie,Runolfsdottir,white,nonhispanic,F,New York  New York  US,453 Simonis Boulevard Apt 21,New York,New York,Richmond County,36047,11215
0808db64-b7ba-866e-6be9-143d4717eb03,01/01/1970,999-16-6448,S99993747,X61872628X,Cyril,Schowalter,white,nonhispanic,M,Glen Cove  New York  US,617 Harber Dam,New York,New York,Richmond County,36047,11109
8224be4b-6b94-3b95-9af4-3899490d2db8,01/01/1970,999-91-7810,S99964528,X34546833X,Eartha,Kshleri,white,nonhispanic,F,New York  New York  US,967 Ryan Tunnel Suite 82,New York,New York,Richmond County,36081,11423
1d724415-efc4-8670-05d8-d5e8b87a5a47,01/01/1970,999-99-6908,,,Ernestine,Reichert,white,nonhispanic,F,Berlin  Berlin  DE,1096 Bernier Trail,New York,New York,Richmond County,36061,10167
ce269807-28c6-d974-cbc8-6ed16fdb4fa7,01/01/1970,999-25-9092,S99975599,X76086405X,Marybelle,Wisozk,white,nonhispanic,F,New York  New York  US,1004 Donnelly Boulevard,New York,New York,Richmond County,36081,11103
b532f058-e759-8109-5556-5af223c966c6,01/01/1970,999-70-7073,S99992468,X14146371X,Jude,Bartell,white,hispanic,M,Waverly  New York  US,618 Strosin Parade Apt 14,New York,New York,Richmond County,36047,11239
208242fe-2a66-1022-41c0-c05b2abc1f44,01/01/1970,999-60-1324,S99937997,X11372854X,Forrest,Ward,white,nonhispanic,M,Auburn  New York  US,484 Streich Landing,New York,New York,Richmond County,36081,11411
1df2cc37-cb2e-0ce5-6ba7-1d4e2a9b2f97,01/01/1970,999-85-9322,S99984373,X72856534X,Mark,Zieman,white,nonhispanic,M,New York  New York  US,405 Kunde Bypass,New York,New York,Richmond County,36081,11692
042472fe-afea-45f4-0833-a363965a63f6,01/01/1970,999-29-7989,S99930483,X55123416X,Perry,Dickens,white,nonhispanic,M,South Huntington  New York  US,844 Sawayn Common Unit 56,New York,New York,Richmond County,36047,11206
c12c1c05-5b6a-8e57-3525-a687d2f93c4e,01/01/1970,999-66-5038,S99934924,X23973333X,Diana,Rivero,white,hispanic,F,Ponce  Puerto Rico  PR,144 Considine Ferry Apt 70,New York,New York,Richmond County,36005,10452
ce442e62-045f-e43e-e093-01568d908d13,01/01/1970,999-76-3203,S99978327,,Magdalena,Melénde,white,hispanic,F,Salisbury  Saint Joseph Parish  DM,324 Spinka Light,New York,New York,Richmond County,36081,11351
8a13f6e4-3505-f8a9-4f9e-ca4b77a71684,01/01/1970,999-92-4322,S99989125,X85615096X,Mollie,Fritsch,black,nonhispanic,F,Albany  New York  US,653 Runolfsson Street,New York,New York,Richmond County,36081,11358
70e19c66-daff-d89f-66b8-f1f166a34634,01/01/1970,999-87-5912,S99933033,X58165190X,Mart,Melgar,white,hispanic,F,Marigot  Saint Andrew Parish  DM,1088 Ullrich Path,New York,New York,Richmond County,36081,11359
784df861-198b-54d2-47a4-757502ad66fd,01/01/1970,999-42-5438,S99927056,X1597335X,Indira,Pagac,white,nonhispanic,F,Poughkeepsie  New York  US,212 Mertz Street Suite 26,New York,New York,Richmond County,36061,10030
a706ea30-c9d1-b3e2-89f4-2f3ef5cdc6c2,01/01/1970,999-76-4690,S99991655,X10774612X,Margarito,Funk,black,nonhispanic,M,New York  New York  US,982 Rau Estate Apt 99,New York,New York,Richmond County,36081,11693
d58666f4-3d39-9f05-81f4-bd6bf4861e29,01/01/1970,999-72-4972,S99920108,X18581262X,Mao,Abernathy,white,nonhispanic,F,Massena  New York  US,698 Rath Crossing,New York,New York,Richmond County,36081,11433
d8f2b023-9078-cb75-45a7-3cf375588d3b,01/01/1970,999-35-8977,S99982470,X13529609X,Kathe,Boyle,black,nonhispanic,F,New York  New York  US,1035 Ebert Drive,New York,New York,Richmond County,36081,11432
699ce5c6-eddf-8f6a-6b48-3ec9a2ec40ec,01/01/1970,999-89-7354,S99914191,X17553407X,Elane,O'Kon,white,nonhispanic,F,Lawrence  New York  US,365 Mills Gardens Apt 2,New York,New York,Richmond County,36081,11004
0c4a29fe-bc92-ee21-4fec-b88c8474f9c2,01/01/1970,999-48-8072,S99925597,X73415392X,Lashaun,Heller,white,nonhispanic,F,Rochester  New York  US,839 Haley Promenade Apt 25,New York,New York,Richmond County,36081,11436
d1477dcf-6719-a16b-3c93-b1e025275053,01/01/1970,999-64-4885,S99990932,X31141648X,Loyce,Bosco,black,nonhispanic,F,North Bellmore  New York  US,1067 Lynch Street,New York,New York,Richmond County,36061,10001
554ed94c-2665-a626-c2cc-6e4ff526b9ac,01/01/1970,999-18-7185,S99957707,X34500327X,Corinna,Hoppe,white,nonhispanic,F,Bethany  New York  US,213 Brakus Ferry Suite 17,New York,New York,Richmond County,36005,10475
2e3c81ac-a4be-8953-ec45-744143257f22,01/01/1970,999-27-8243,S99959419,X14674731X,Maxie,Rice,black,nonhispanic,F,Plainview  New York  US,616 Rosenbaum Promenade,New York,New York,Richmond County,36061,10023
fa98c5e3-bdb0-7804-d263-a7980b3fde6e,01/01/1970,999-58-4514,,,Darryl,Durgan,white,nonhispanic,M,Plattsburgh West  New York  US,980 Breitenberg Esplanade Suite 95,New York,New York,Richmond County,36081,11693
6f3af0ba-5d46-edf3-e3ab-8bf7f602eadd,01/01/1970,999-18-7833,,,Clarissa,Smit,white,nonhispanic,F,New York  New York  US,973 Greenfelder Village Unit 62,New York,New York,Richmond County,36061,10037
9abd9470-ef15-d527-fec7-fb38db12c341,01/01/1970,999-86-5848,S99957565,X66095241X,Janee,Kuh,white,nonhispanic,F,Yonkers  New York  US,709 Conroy Lock Suite 34,New York,New York,Richmond County,36047,11219
a9f0b576-896d-3b2b-e05c-e6ed0ff8ff88,01/01/1970,999-27-1482,S99982891,X12082418X,Tory,Howell,asian,nonhispanic,M,Beijing  Beijing Municipality  CN,508 Ratke View,New York,New York,Richmond County,36061,10069
5377152c-dad4-397b-f95f-c7861a2ead19,01/01/1970,999-86-8079,S99988857,X53455095X,Maryellen,Homenick,white,nonhispanic,F,New York  New York  US,841 Schultz Port Suite 81,New York,New York,Richmond County,36085,10309
c385fd3c-2748-e75f-6818-6399f6a5e7a0,01/01/1970,999-49-4491,S99935835,X16666362X,Leif,Larkin,white,nonhispanic,M,Little Valley  New York  US,135 Koch Camp Apt 1,New York,New York,Richmond County,36081,11005
3d9467d4-10fb-287b-548b-16be10cddd01,01/01/1970,999-59-5238,S99947765,X41424559X,Bong,Carroll,black,nonhispanic,F,New York  New York  US,414 Goldner Trailer,New York,New York,Richmond County,36061,10199
60b6dc90-5ac8-3b99-bc8d-21a3fa65a6fb,01/01/1970,999-65-5000,S99934789,X27819937X,Abel,Gutkowski,black,nonhispanic,M,New York  New York  US,437 Upton Drive,New York,New York,Richmond County,36061,10018
d95870fb-f087-6e0d-8b5a-0740b92ae585,01/01/1970,999-23-8617,S99945001,X42438715X,Ivette,Pouros,other,nonhispanic,F,New York  New York  US,1014 Nikolaus Station,New York,New York,Richmond County,36061,10028
0055a342-d8cf-3420-1477-2d20cea8c18c,01/01/1970,999-39-9047,S99943343,X62762556X,Willard,Haley,white,nonhispanic,M,Halfmoon  New York  US,1081 Orn Center,New York,New York,Richmond County,36085,10310
3fd6cdae-4a01-5330-f7f7-9ed02e0678e7,01/01/1970,999-11-4320,S99913410,X49545021X,September,Bergstrom,white,nonhispanic,F,Heraklion  Heraklion Prefecture  GR,287 Johns Lock,New York,New York,Richmond County,36085,10307
eebcb227-9e9d-2d2a-db8a-6ecff1a7cc2b,01/01/1970,999-60-3706,S99966930,X35366452X,Galen,Crona,white,nonhispanic,M,New York  New York  US,728 Kutch Dam Suite 89,New York,New York,Richmond County,36061,10025
055f9ef8-2eac-388c-6043-cdec14cd90a6,01/01/1970,999-11-6681,,,Rebeca,Centeno,white,hispanic,F,Kingston  Kingston  JM,682 Okuneva Dale,New York,New York,Richmond County,36061,10031
92516239-0a42-c979-f34c-038455556d9a,01/01/1970,999-30-4310,S99927362,X78824373X,Porfirio,Treutel,white,nonhispanic,M,Dix Hills  New York  US,806 Gottlieb Ferry,New York,New York,Richmond County,36005,10466
c8ca8433-2baa-397e-42a0-2b14a2e27cad,01/01/1970,999-63-8231,S99922539,X72030397X,Shandi,O'Conner,white,nonhispanic,F,Fort Montgomery  New York  US,532 Fahey Crossroad Apt 18,New York,New York,Richmond County,36085,10314
b9aa6847-c562-9385-51da-f6106919465a,01/01/1970,999-22-9736,S99969344,X5584552X,Bernard,Deckow,white,nonhispanic,M,Amityville  New York  US,226 Dicki Ferry,New York,New York,Richmond County,34017,10004
